                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8691,                 1.8337,                 2.3822,                0.57138,                0.47619,                0.49736,                0.25025,                 1.7432,                 2.3499,                 2.5062,             0.00066735,             0.00066735,             0.00066735
                     35,                 1.8234,                 1.8818,                 2.3185,                0.44715,                0.50074,                0.49395,                0.25175,                 1.8241,                 2.0948,                 2.6388,             0.00066593,             0.00066593,             0.00066593
                     36,                 1.8851,                 1.9925,                 2.4598,                0.68984,                0.56495,                0.61868,                 0.3108,                 1.7138,                 1.9706,                 2.5348,             0.00066452,             0.00066452,             0.00066452
                     37,                   1.81,                 1.8075,                 2.3375,                0.74995,                0.44444,                 0.5427,                0.28267,                 1.5804,                 2.1249,                 2.3946,             0.00066311,             0.00066311,             0.00066311
                     38,                 1.7395,                 1.7424,                 2.2894,                0.55836,                0.49206,                0.52658,                0.25427,                 1.7315,                 2.0494,                 2.6072,             0.00066169,             0.00066169,             0.00066169
                     39,                 1.7317,                  1.716,                 2.2886,                0.37729,                0.33333,                0.33018,                0.14951,                 1.8838,                  2.624,                 2.7154,             0.00066028,             0.00066028,             0.00066028
                     40,                 1.7955,                 1.7073,                 2.2825,                0.52434,                0.53968,                0.53986,                0.28424,                 1.6802,                 1.9564,                  2.477,             0.00065886,             0.00065886,             0.00065886
                     41,                 1.7282,                 1.7061,                  2.249,                0.56928,                0.57143,                0.56976,                0.32429,                 1.5684,                 1.7753,                 2.3434,             0.00065745,             0.00065745,             0.00065745
                     42,                 1.7526,                 1.6885,                 2.2414,                0.31668,                 0.4127,                0.34163,                0.18939,                 1.8647,                 2.1251,                 2.7259,             0.00065604,             0.00065604,             0.00065604
                     43,                 1.6293,                 1.6478,                 2.1944,                0.61645,                0.63492,                0.60182,                 0.3034,                  1.696,                  1.713,                 2.5185,             0.00065462,             0.00065462,             0.00065462
                     44,                 1.7154,                 1.7319,                 2.2359,                0.72479,                0.55556,                0.66639,                0.36745,                 1.6317,                 1.9376,                 2.4548,             0.00065321,             0.00065321,             0.00065321
                     45,                 1.6461,                 1.6195,                 2.1608,                0.72014,                0.61275,                0.65274,                0.39498,                 1.5304,                 1.7996,                 2.3397,              0.0006518,              0.0006518,              0.0006518
                     46,                 1.6065,                 1.5999,                  2.188,                0.66017,                0.53968,                0.60374,                 0.3772,                 1.4624,                 1.9438,                 2.2363,             0.00065038,             0.00065038,             0.00065038
                     47,                 1.6066,                 1.5891,                 2.1748,                0.52034,                0.65079,                0.59003,                0.36506,                 1.6134,                 1.8657,                 2.3998,             0.00064897,             0.00064897,             0.00064897
                     48,                 1.6748,                 1.5698,                 2.1835,                0.66955,                0.53968,                0.59863,                0.34085,                 1.6167,                 1.7328,                 2.4114,             0.00064756,             0.00064756,             0.00064756
                     49,                 1.5788,                 1.5382,                 2.1383,                0.76158,                 0.5873,                0.70338,                0.42432,                 1.5697,                 1.5692,                  2.303,             0.00064614,             0.00064614,             0.00064614
                     50,                  1.569,                 1.5436,                 2.1202,                0.75663,                0.64162,                0.69471,                0.38314,                 1.5938,                 1.7288,                 2.3815,             0.00064473,             0.00064473,             0.00064473
                     51,                 1.5336,                 1.5103,                 2.0682,                0.78728,                0.63492,                0.67815,                0.41618,                 1.4883,                 1.6865,                 2.2869,             0.00064331,             0.00064331,             0.00064331
                     52,                 1.5673,                 1.5782,                 2.1134,                0.62032,                0.44444,                0.52647,                0.26242,                 1.7059,                 1.9073,                 2.4943,              0.0006419,              0.0006419,              0.0006419
