                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 3.4946,                 2.7931,                 3.9835,                0.01042,                0.47619,                0.14424,                0.05076,                 2.9206,                 3.6126,                 4.1411,               0.000214,               0.000214,               0.000214
                     34,                 3.4854,                  2.809,                 3.9862,                0.01027,                0.47619,                0.11364,                0.03593,                 2.9184,                 3.6192,                 4.1415,             0.00022022,             0.00022022,             0.00022022
                     35,                 3.4568,                 2.7936,                 3.9439,                 0.0106,                0.47619,                0.12039,                0.03909,                 2.9166,                 3.6266,                 4.1423,             0.00022642,             0.00022642,             0.00022642
                     36,                 3.4213,                 2.7023,                 3.9341,                0.01003,                0.47619,                0.12345,                0.04059,                 2.9154,                 3.6357,                 4.1439,             0.00023258,             0.00023258,             0.00023258
                     37,                 3.2935,                 2.6694,                  3.888,                0.01107,                0.49206,                0.12583,                0.04199,                 2.9148,                 3.6336,                 4.1463,             0.00023872,             0.00023872,             0.00023872
                     38,                 3.4028,                 2.5812,                 3.8588,                   0.01,                0.47619,                0.13962,                0.04978,                 2.9152,                 3.6471,                 4.1496,             0.00024483,             0.00024483,             0.00024483
                     39,                 3.3454,                 2.5896,                 3.8427,                0.01014,                0.47619,                0.11662,                0.04387,                 2.9163,                  3.656,                 4.1531,             0.00025091,             0.00025091,             0.00025091
                     40,                 3.4114,                 2.6347,                 3.8357,                0.01042,                0.47619,                0.13089,                0.05418,                 2.9164,                 3.6714,                 4.1575,             0.00025696,             0.00025696,             0.00025696
                     41,                 3.3618,                 2.5342,                 3.8123,                0.01029,                0.47619,                 0.1419,                0.05912,                 2.9153,                 3.6888,                 4.1609,             0.00026298,             0.00026298,             0.00026298
                     42,                 3.4606,                 2.6685,                  3.797,                0.01041,                0.47619,                0.12905,                0.04574,                 2.9158,                 3.6964,                 4.1643,             0.00026898,             0.00026898,             0.00026898
                     43,                   3.25,                 2.5158,                 3.7681,                0.01042,                0.47619,                0.14197,                0.06411,                 2.9166,                   3.71,                 4.1683,             0.00027494,             0.00027494,             0.00027494
                     44,                  3.297,                 2.5061,                 3.7326,                0.01085,                0.49206,                 0.1174,                0.05046,                 2.9191,                 3.6596,                 4.1755,             0.00028088,             0.00028088,             0.00028088
                     45,                 3.2493,                 2.4711,                 3.6549,                0.01018,                0.47619,                0.12789,                0.04643,                 2.9225,                 3.6733,                 4.1842,             0.00028679,             0.00028679,             0.00028679
                     46,                 3.2722,                 2.4609,                 3.6556,                0.01041,                0.47619,                0.10568,                0.04168,                 2.9272,                 3.6949,                 4.1927,             0.00029267,             0.00029267,             0.00029267
                     47,                 3.2468,                 2.4743,                  3.651,                0.01055,                0.47619,                0.14802,                0.05484,                 2.9278,                 3.7078,                 4.1988,             0.00029853,             0.00029853,             0.00029853
                     48,                 3.2391,                 2.4422,                 3.5879,                0.01096,                0.47619,                 0.1118,                0.04489,                 2.9295,                  3.714,                 4.2028,             0.00030435,             0.00030435,             0.00030435
                     49,                 3.1542,                  2.395,                 3.5956,                0.01055,                0.47619,                0.14853,                 0.0528,                 2.9299,                 3.7215,                 4.2072,             0.00031015,             0.00031015,             0.00031015
                     50,                 3.2044,                 2.3826,                 3.5315,                0.01095,                0.47619,                0.13391,                0.05339,                 2.9309,                 3.7295,                 4.2119,             0.00031592,             0.00031592,             0.00031592
                     51,                 3.1972,                 2.4018,                 3.5511,                0.01126,                0.49206,                0.16222,                0.05958,                  2.938,                 3.7464,                 4.2228,             0.00032166,             0.00032166,             0.00032166
                     52,                 3.1727,                 2.3522,                 3.5045,                0.01078,                0.47619,                0.12316,                0.04767,                 2.9507,                 3.7678,                 4.2371,             0.00032737,             0.00032737,             0.00032737
                     53,                 3.1637,                 2.3298,                 3.4786,                0.01099,                0.47619,                 0.1254,                0.05149,                 2.9637,                 3.7774,                 4.2481,             0.00033305,             0.00033305,             0.00033305
                     54,                 3.2121,                 2.3644,                 3.4905,                0.01055,                0.46032,                0.11544,                 0.0484,                 2.9775,                 3.7711,                 4.2536,             0.00033871,             0.00033871,             0.00033871
                     55,                 3.2184,                 2.2585,                 3.4153,                0.01068,                0.47619,                0.14715,                0.05438,                 2.9857,                 3.7708,                 4.2593,             0.00034434,             0.00034434,             0.00034434
                     56,                 3.0512,                 2.2592,                 3.4081,                0.01136,                0.50794,                0.10025,                0.04096,                  2.987,                 3.7789,                 4.2646,             0.00034993,             0.00034993,             0.00034993
                     57,                  3.105,                 2.2896,                 3.4215,                0.01139,                0.50794,                0.09973,                0.04084,                  2.979,                 3.7733,                 4.2615,             0.00035551,             0.00035551,             0.00035551
                     58,                  3.012,                 2.2755,                 3.3599,                0.01125,                0.49206,                0.14019,                0.05106,                  2.954,                 3.7536,                  4.246,             0.00036105,             0.00036105,             0.00036105
                     59,                 3.0151,                 2.2393,                 3.3259,                0.01107,                0.49206,                0.13697,                0.04658,                 2.9339,                 3.7407,                 4.2315,             0.00036656,             0.00036656,             0.00036656
                     60,                 3.0483,                 2.2578,                 3.3205,                0.01064,                0.47619,                0.16781,                 0.0458,                 2.9278,                 3.7704,                 4.2342,             0.00037205,             0.00037205,             0.00037205
                     61,                 3.0383,                  2.177,                 3.2787,                0.01072,                0.47619,                0.12232,                0.03811,                 2.9384,                  3.826,                  4.256,             0.00037751,             0.00037751,             0.00037751
