                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2992,                  1.598,                 2.0917,                  0.004,                 0.7619,                 0.0096,                0.00353,                 2.5687,                 3.7617,                 4.2226,             0.00066735,             0.00066735,             0.00066735
                     35,                  1.309,                 1.6387,                 2.1202,                  0.004,                 0.7619,                0.01056,                0.00353,                 2.5627,                 3.7799,                 4.1541,             0.00066593,             0.00066593,             0.00066593
                     36,                 1.2434,                 1.5083,                 2.0793,                  0.004,                 0.7619,                0.01042,                0.00367,                 2.5446,                 3.7895,                 4.2238,             0.00066452,             0.00066452,             0.00066452
                     37,                  1.186,                 1.4745,                  1.984,                  0.004,                 0.7619,                0.01173,                0.00396,                 2.5494,                 3.7714,                 4.2143,             0.00066311,             0.00066311,             0.00066311
                     38,                 1.2058,                 1.3991,                 1.9289,                  0.004,                 0.7619,                0.01103,                0.00386,                  2.554,                 3.6444,                 4.2032,             0.00066169,             0.00066169,             0.00066169
                     39,                  1.195,                 1.3941,                 1.9566,                  0.004,                 0.7619,                0.01069,                0.00371,                 2.5581,                 3.4611,                  4.205,             0.00066028,             0.00066028,             0.00066028
                     40,                 1.0571,                 1.2547,                 1.8329,                  0.004,                 0.7619,                   0.01,                0.00331,                  2.565,                 3.5056,                 4.1673,             0.00065886,             0.00065886,             0.00065886
                     41,                 1.1115,                 1.2291,                 1.7933,                0.00392,                0.74603,                0.00979,                0.00341,                  2.569,                 3.4734,                 4.1143,             0.00065745,             0.00065745,             0.00065745
                     42,                 1.0059,                 1.1646,                 1.7616,                0.00591,                0.61905,                0.00939,                0.00334,                 2.5765,                 3.5229,                 4.1441,             0.00065604,             0.00065604,             0.00065604
                     43,                0.98218,                 1.1647,                 1.7257,                0.00481,                0.53968,                0.00907,                0.00316,                 2.5636,                 3.4888,                 4.1184,             0.00065462,             0.00065462,             0.00065462
                     44,                0.91557,                 1.0937,                 1.6581,                0.00562,                0.50794,                0.00869,                0.00336,                 2.5657,                 3.4954,                 4.1622,             0.00065321,             0.00065321,             0.00065321
                     45,                0.90341,                 1.0808,                 1.6649,                0.00598,                0.50794,                0.00852,                0.00325,                 2.5666,                 3.4904,                  4.143,              0.0006518,              0.0006518,              0.0006518
                     46,                0.90051,                  1.017,                 1.6431,                0.00707,                0.60317,                 0.0096,                0.00362,                 2.5728,                 3.5214,                 4.0884,             0.00065038,             0.00065038,             0.00065038
                     47,                0.83256,                 1.0243,                 1.5943,                0.00586,                 0.5873,                0.00934,                0.00368,                 2.5989,                  3.527,                 4.1657,             0.00064897,             0.00064897,             0.00064897
                     48,                0.83304,                0.93574,                 1.5591,                0.00393,                0.74603,                0.00928,                0.00351,                 2.5988,                 3.4909,                 4.2096,             0.00064756,             0.00064756,             0.00064756
                     49,                0.74966,                0.93154,                 1.4723,                 0.0059,                0.55556,                0.01013,                0.00366,                  2.596,                 3.5126,                 4.2112,             0.00064614,             0.00064614,             0.00064614
                     50,                0.78174,                0.88704,                 1.4858,                0.00485,                 0.7619,                0.01249,                0.00461,                 2.5759,                 3.5024,                 4.1504,             0.00064473,             0.00064473,             0.00064473
                     51,                0.72909,                0.88241,                 1.4844,                0.00393,                0.74603,                0.00919,                0.00343,                 2.5819,                 3.5094,                 4.1737,             0.00064331,             0.00064331,             0.00064331
                     52,                0.68978,                0.86218,                 1.4266,                  0.004,                 0.7619,                0.00855,                0.00303,                 2.5793,                 3.4826,                 4.1494,              0.0006419,              0.0006419,              0.0006419
                     53,                0.66865,                 0.8205,                 1.3794,                  0.004,                 0.7619,                0.01467,                0.00581,                 2.5381,                 3.4957,                 4.0542,             0.00064049,             0.00064049,             0.00064049
                     54,                0.66369,                0.78047,                 1.3536,                0.00412,                0.77778,                0.06182,                0.03026,                 2.4859,                 3.4735,                  4.005,             0.00063907,             0.00063907,             0.00063907
                     55,                0.71231,                0.81002,                 1.3776,                0.00417,                0.77778,                0.08637,                0.03848,                 2.4292,                 3.4397,                 3.9154,             0.00063766,             0.00063766,             0.00063766
                     56,                0.61598,                0.75043,                 1.3042,                      1,                0.03016,                0.11975,                0.04839,                 2.3768,                 3.3825,                  3.809,             0.00063625,             0.00063625,             0.00063625
                     57,                0.61388,                0.73262,                 1.3039,                0.31069,                0.02229,                0.11196,                0.03834,                 2.3754,                 3.4051,                 3.8531,             0.00063483,             0.00063483,             0.00063483
                     58,                0.62134,                0.75301,                 1.2948,                0.39347,                0.04762,                0.13928,                0.04242,                 2.3844,                 3.4346,                 3.8789,             0.00063342,             0.00063342,             0.00063342
                     59,                0.58134,                0.68618,                 1.2611,                0.00469,                0.79365,                0.07017,                0.02084,                 2.3584,                 3.4776,                 3.8746,               0.000632,               0.000632,               0.000632
                     60,                0.59183,                0.67644,                 1.2511,                0.37323,                0.06349,                 0.1545,                0.05524,                 2.3634,                  3.341,                 3.7767,             0.00063059,             0.00063059,             0.00063059
                     61,                0.61664,                0.67039,                 1.2406,                0.76323,                 0.1028,                0.18074,                0.05749,                 2.3294,                 3.3341,                 3.6917,             0.00062918,             0.00062918,             0.00062918
