                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1895,                 2.2999,                 2.6885,                0.39379,                0.21664,                0.24019,                0.09179,                 2.1944,                  2.932,                 3.1418,             0.00066735,             0.00066735,             0.00066735
                     35,                 2.1549,                 2.3258,                 2.6616,                0.31397,                0.38095,                 0.2727,                0.07675,                 2.2209,                   2.96,                   3.14,             0.00066593,             0.00066593,             0.00066593
                     36,                 2.0658,                 2.2903,                 2.5859,                0.39217,                0.33333,                0.27463,                0.09934,                 2.3002,                 2.9508,                 3.3834,             0.00066452,             0.00066452,             0.00066452
                     37,                 2.1253,                 2.2421,                 2.5768,                0.32956,                0.25397,                0.22094,                0.07666,                 2.2332,                 2.9902,                 3.1867,             0.00066311,             0.00066311,             0.00066311
                     38,                 2.1115,                 2.2572,                 2.5398,                0.35503,                0.26984,                0.26244,                0.11096,                 2.2321,                 2.7177,                 3.0347,             0.00066169,             0.00066169,             0.00066169
                     39,                 1.9969,                 2.1799,                 2.4915,                0.42627,                0.25397,                0.35183,                0.14872,                 2.0647,                 2.6644,                 2.9489,             0.00066028,             0.00066028,             0.00066028
                     40,                 1.9824,                 2.2155,                 2.5007,                0.49152,                0.28571,                0.32353,                0.13487,                 2.2209,                 2.7061,                 3.0974,             0.00065886,             0.00065886,             0.00065886
                     41,                 1.9206,                 2.1298,                 2.4496,                0.49667,                0.42857,                0.46544,                0.20765,                 2.0147,                 2.5158,                 2.8845,             0.00065745,             0.00065745,             0.00065745
                     42,                 1.9465,                 2.1319,                  2.417,                0.61373,                0.50445,                 0.5721,                0.27844,                 1.9038,                 2.2405,                 2.6633,             0.00065604,             0.00065604,             0.00065604
                     43,                 1.9356,                 2.0859,                 2.4433,                0.47672,                0.52062,                0.48519,                0.24802,                  1.933,                 2.3831,                 2.7689,             0.00065462,             0.00065462,             0.00065462
                     44,                 1.9157,                 2.0451,                 2.3885,                0.33643,                0.43463,                0.37749,                0.20165,                 1.9332,                 2.4616,                 2.7092,             0.00065321,             0.00065321,             0.00065321
                     45,                 1.9159,                 1.9553,                 2.3524,                0.52865,                0.48073,                0.53877,                 0.2785,                  1.874,                 2.2235,                 2.6105,              0.0006518,              0.0006518,              0.0006518
                     46,                 1.9358,                 2.0168,                 2.3818,                0.57702,                0.46032,                0.51598,                0.23555,                 1.9741,                 2.3958,                 2.8279,             0.00065038,             0.00065038,             0.00065038
                     47,                 1.8292,                  1.903,                 2.2942,                0.66516,                0.44444,                0.56562,                0.30514,                 1.7223,                  2.129,                  2.506,             0.00064897,             0.00064897,             0.00064897
                     48,                 1.8357,                 1.9771,                 2.3284,                0.53437,                0.69841,                 0.5981,                0.27732,                 1.7601,                 2.1071,                 2.5259,             0.00064756,             0.00064756,             0.00064756
                     49,                 1.9191,                 1.9461,                 2.3558,                0.74954,                0.52254,                0.61521,                  0.312,                 1.7907,                 2.1967,                 2.5538,             0.00064614,             0.00064614,             0.00064614
                     50,                 1.8043,                 1.9321,                 2.2852,                 0.6215,                0.47619,                0.53985,                0.28731,                 1.7787,                 2.3268,                 2.6952,             0.00064473,             0.00064473,             0.00064473
                     51,                 1.7917,                 1.8802,                 2.2533,                0.66337,                 0.5631,                0.58637,                0.29336,                 1.8324,                 2.3088,                 2.6438,             0.00064331,             0.00064331,             0.00064331
                     52,                 1.7108,                 1.8228,                 2.1954,                0.65132,                0.53378,                0.58808,                 0.3211,                 1.7817,                 2.0932,                 2.5141,              0.0006419,              0.0006419,              0.0006419
